date,instrument,returns,returns_fwd_1,DIFF_M1_SUB_S1,RATIO_M1_DIV_V1,LAG_M1_T2,PROD_M1_MUL_V1,DELTA_M1_T10,DELTA_M1_T5,SDIFF_M1_P1,LAG_M1_T20,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1990-01-01,SP500,-0.0030384793599786,-0.0091140456193133,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286767,-0.10080188109929945,-0.28278520176554284,0.11956211186453117,-0.08864630260656807,-0.013238368328683919,-0.1157959851535285,-0.44323060219705324
1990-01-02,SP500,-0.0091140456193133,-0.0102425375009931,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109909638,-0.28278520176548844,0.11956211186463196,-0.08864630260672252,-0.013238368328638755,-0.11579598515346055,-0.44323060219709665
1990-01-03,SP500,-0.0102425375009931,0.004046203504082,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109913923,-0.2827852017655074,0.11956211186462913,-0.0886463026065943,-0.013238368328689978,-0.11579598515346606,-0.4432306021971081
1990-01-04,SP500,0.004046203504082,-0.0123006546540279,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109914145,-0.2827852017655654,0.11956211186462141,-0.08864630260654914,-0.013238368328653981,-0.11579598515352083,-0.44323060219711624
1990-01-05,SP500,-0.0123006546540279,-0.0070659343860321,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109916603,-0.2827852017654418,0.11956211186462332,-0.08864630260656542,-0.013238368328672624,-0.11579598515344046,-0.44323060219710253
1990-01-06,SP500,-0.0070659343860321,0.0030294267737944,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109916212,-0.2827852017654645,0.11956211186461929,-0.08864630260656181,-0.013238368328682776,-0.11579598515349017,-0.4432306021971043
1990-01-07,SP500,0.0030294267737944,-0.025182810971921,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109916186,-0.2827852017654664,0.1195621118646178,-0.08864630260656006,-0.013238368328688778,-0.11579598515349651,-0.44323060219713645
1990-01-08,SP500,-0.025182810971921,-0.0091054426838308,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109915983,-0.2827852017654605,0.11956211186461481,-0.08864630260656879,-0.01323836832875708,-0.11579598515359844,-0.4432306021971939
1990-01-09,SP500,-0.0091054426838308,0.0106493642089859,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.1008018810991645,-0.282785201765464,0.11956211186462529,-0.08864630260655985,-0.013238368328633201,-0.11579598515338622,-0.44323060219705623
1990-01-10,SP500,0.0106493642089859,-0.0103067451175469,2.493513365855877,10.0,1.63969473090542,0.1724282157499744,-0.45092525056257,-0.3152613517001899,0.3726846694039397,1.63969473090542,-4.992336690286707,-0.10080188109916374,-0.28278520176546434,0.11956211186462314,-0.08864630260656044,-0.013238368328651946,-0.1157959851534196,-0.443230602197081
